text,layout_id,groundTruth,format_type,batch_id,description
https://media.giphy.com/media/gHESxcxb2VUNlAdvmB/giphy.gif,5, ,1,2,Instruction: XXX
https://media.giphy.com/media/CyRC2jhUo6nDy/giphy.gif,5, ,1,2,Instruction: XXX
Lesson 7: Identifying the difference between fact and opinion https://t.co/eLmWabx35R,1,,2,2,Instruction: XXX
Newspaper headlines: Tories 'head off winter NHS crisis' and 'England agony' https://t.co/amnXHcXvZe,1,,2,2,Instruction: XXX
Arizona border activist who gave water to migrants faces second trial https://t.co/SCFehNRdo1,1,,3,2,Instruction: XXX
Apple TV Plus launches today Here's what we think of three of its original shows https://t.co/aoT2w2pz1J,1,,3,2,Instruction: XXX
Baby robots and a trapped squirrel: Friday’s best photos https://t.co/kjWANt0GuL,1,,3,2,Instruction: XXX
https://media.giphy.com/media/gHESxcxb2VUNlAdvmB/giphy.gif,5, ,1,1,Instruction: XXX
https://media.giphy.com/media/CyRC2jhUo6nDy/giphy.gif,5, ,1,1,Instruction: XXX
To have faith is to trust yourself to the water,2,,2,1,Instruction: XXX
Calif. wildfires signal the arrival of a planetary fire age https://t.co/Vvo9noqQfA,2,,2,1,Instruction: XXX
The Supreme Court won’t hear a challenge from gun maker Remington to a lawsuit brought by families of victims kille… https://t.co/k8ocrhV7Qj,2,,3,1,Instruction: XXX
HAPPENING NOW: Coverage of Southern California wildfires from Los Angeles ABC station KABC. https://t.co/R1TsTK1qRG https://t.co/tYO1icafiq,2,,3,1,Instruction: XXX
"For emerging markets, China’s shift to consumer goods is a blow https://t.co/4Oqf2XbRr0",2,,3,1,Instruction: XXX
